x,y   
0,0 
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.004
11,0.004
12,0.004
13,0.007
14,0.011
15,0.011
16,0.015
17,0.011
18,0.011
19,0.011
20,0.007
21,0.004
22,0.018
23,0.022
24,0.029
25,0.04
26,0.044
27,0.044
28,0.048
29,0.037
30,0.029
31,0.026
32,0.026
33,0.026
34,0.048
35,0.048
36,0.044
37,0.044
38,0.051
39,0.051
40,0.048
41,0.04
42,0.037
43,0.048
44,0.062
45,0.07
46,0.081
47,0.084
48,0.077
49,0.088
50,0.092
51,0.092
52,0.121
53,0.117
54,0.132
55,0.158
56,0.154
57,0.15
58,0.158
59,0.128
60,0.117
61,0.117
62,0.103
63,0.11
64,0.161
65,0.194
66,0.183
67,0.187
68,0.187
69,0.206
70,0.213
71,0.194
72,0.18
73,0.18
74,0.172
75,0.158
76,0.147
77,0.154
78,0.15
79,0.121
80,0.143
81,0.169
82,0.194
83,0.257
84,0.25
85,0.242
86,0.297
87,0.378
88,0.393
89,0.418
90,0.407
91,0.462
92,0.503
93,0.455
94,0.418
95,0.4
96,0.393
97,0.363
98,0.44
99,0.374
100,0.433
101,0.404
102,0.422
103,0.448
104,0.477
105,0.455
106,0.477
107,0.525
108,0.525
109,0.525
110,0.495
111,0.521
112,0.495
113,0.51
114,0.411
115,0.506
116,0.587
117,0.624
118,0.583
119,0.55
120,0.558
121,0.617
122,0.536
123,0.514
124,0.521
125,0.576
126,0.58
127,0.646
128,0.624
129,0.628
130,0.532
